id,question_id,content
243,243,"class Solution {
 public:
  int maxHappyGroups(int batchSize, vector<int>& groups) {
  vector<int> reminder(batchSize, 0);
  for(auto& g : groups) {
  reminder[g % batchSize]++;
  }
  // greedy for reminder is zero and two groups reminder is zero.
  // for example: batchSize = 3, groups = [1,2,3,4,5,6]
  // then we will find: (3) (6) (1,5) (2,4) 
  // greedy for one group
  int result = reminder[0]; 
  //greedy for two groups
  for (int i=1; i<=batchSize/2; i++){
  if (reminder[i] == 0 || reminder[batchSize-i] == 0 ) continue;
  int m = (i == batchSize-i) ? 
  reminder[i]/2 :
  min(reminder[i], reminder[batchSize-i]);
  reminder[i] -= m;
  reminder[batchSize-i] -= m;
  result += m;
  }
  map<vector<int>, int> cache;
  //DFS for the rest groups
  result += dfs(reminder, batchSize, 0, cache);
  return result;
  }
  int dfs(vector<int>& reminder, int batchSize, int sum, map<vector<int>, int>& cache) {
  if (cache.find(reminder) != cache.end()) return cache[reminder];
  int ret = 0; 
  int bonus = sum == 0 ? 1: 0;
  for(int i=1; i<batchSize; i++) {
  if (reminder[i] <= 0) continue;
  reminder[i]--;
  ret = max(ret, bonus + dfs(reminder, batchSize, (sum + i) % batchSize, cache));
  reminder[i]++;
  }
  cache[reminder] = ret;
  return ret;
  }
 };"
244,244,"class Solution {
 public:
  int maximumPopulation(vector<vector<int>>& logs) {
  vector<vector<int>> year;
  for(auto& log : logs) {
  year.push_back({log[0], 1});
  year.push_back({log[1], -1});
  }
  sort(year.begin(), year.end());
  int x = year[0][0];
  int cnt = 0, max_cnt = 0;
  for(int i=0; i< year.size(); i++) {
  cnt += year[i][1];
  if (max_cnt < cnt) {
  max_cnt = cnt;
  x = year[i][0];
  }
  }
  return x;
  }
 };"
245,245,"class Solution {
 public:
  int maxProduct(vector<int>& nums) {
  int max1=max(nums[0], nums[1]);
  int max2=min(nums[0], nums[1]);
  for (int i=2; i< nums.size(); i++) {
  if (nums[i] > max1) {
  max2 = max1;
  max1 = nums[i];
  continue;
  }else if (nums[i] > max2) {
  max2 = nums[i];
  }
  }
  return (max1-1)*(max2-1);
  }
 };"
246,246,"class Solution {
 public:
  //
  // there are two algorithms:
  //
  // 1) compare two words is same or not 
  // - we can use bit-mask to solve that. 
  // - we need be careful about one word is subset of another one, such as: ""abc"" is subset of ""abcabc""
  //
  // 2) find out the max product - that needs O(N^2) time complexity algorithm.
  //
  int maxProduct(vector<string>& words) {
  //Key is the word's bitmask, and the value the max length of that bit mask
  unordered_map<int, int> maxLens;
  //constructing the bitmask.
  for(auto& w: words) {
  int mask = 0;
  for (auto& c: w) {
  mask = mask | ( 1 << (c-'a') );
  }
  if ( maxLens.find(mask) == maxLens.end() || maxLens[mask] < w.size() ) {
  maxLens[mask] = w.size();
  }
  }
  //find out the max product
  int result = 0;
  for (auto a : maxLens) {
  for (auto b: maxLens) {
  // if `a` and `b` is same, then just simply continue
  if (a.first & b.first) continue; // there are common letters
  result = max( result, a.second * b.second );
  }
  }
  return result;
  }
 };"
247,247,"#include <iostream>
 #include <algorithm>
 using namespace std;
 int max(int x, int y) {
  return x>y?x:y;
 }
 int min(int x, int y){
  return x<y?x:y;
 }
 int max(int x, int y, int z) {
  return max(x, max(y,z));
 }
 int min(int x, int y, int z) {
  return min(x, min(y, z));
 }
 // The idea is similar with ""Find the subarray wich has the largest sum""
 // (See: http://en.wikipedia.org/wiki/Maximum_subarray_problem)
 // 
 // The only thing to note here is, maximum product can also be obtained by minimum (negative) product 
 // ending with the previous element multiplied by this element. For example, in array {12, 2, -3, -5, -6, -2}, 
 // when we are at element -2, the maximum product is multiplication of, minimum product ending with -6 and -2.
 //
 int maxProduct(int A[], int n) {
  // To remember the max/min product for previous position
  int maxPrev = A[0], minPrev = A[0];
  // To remember the max/min product for current position
  int maxHere = A[0], minHere = A[0];
  // Overall maximum product
  int maxProd = A[0];
  for (int i=1; i<n; i++){
  maxHere = max( maxPrev * A[i], minPrev * A[i], A[i] );
  minHere = min( maxPrev * A[i], minPrev * A[i], A[i] );
  //Keep tracking the overall maximum product
  maxProd = max(maxHere, maxProd);
  //Shift the current max/min product to previous variables
  maxPrev = maxHere;
  minPrev = minHere;
  }
  return maxProd; 
 }
 #define TEST(a) cout << maxProduct( a, sizeof(a)/sizeof(int)) << endl
 int main()
 {
  int o[] = {2,3,-2,4};
  TEST(o);
  int a[] = {-4,-3};
  TEST(a);
  int b[] = {-1, -1};
  TEST(b);
  int c[] = {-1, 0, -2};
  TEST(c);
 }"
248,248,"const int MAX_SIZE = 1000;
 class Solution {
 private:
  int cache[MAX_SIZE][MAX_SIZE]; // num of left picked, num of right picked.
  int m, n;
 public:
  int maximumScore(vector<int>& nums, vector<int>& multipliers) {
  memset(cache, -1, sizeof(cache));
  n = nums.size();
  m = multipliers.size();
  return maximumScoreDFS(nums, 0, n-1, multipliers, 0 );
  }
  int maximumScoreDFS(vector<int>& nums, int left, int right, 
  vector<int>& multipliers, int midx) {
  if(midx >= m ) return 0;
  int nLeft = left; // num of left nums[] picked.
  int nRight = (n-1)-right; // num of right nums[] picked.
  if (cache[nLeft][nRight]!=-1) return cache[nLeft][nRight];
  int pickLeft = maximumScoreDFS(nums, left+1, right, multipliers, midx+1) +
  multipliers[midx] * nums[left];
  int pickRight = maximumScoreDFS(nums, left, right-1, multipliers, midx+1) +
  multipliers[midx] * nums[right];
  cache[nLeft][nRight] = max(pickLeft, pickRight);
  return cache[nLeft][nRight];
  }
 };"
249,249,"class Solution {
 private:
  bool can_move(int a, int b, int c) {
  int cnt = 0 ;
  if ( a > 0 ) cnt++;
  if ( b > 0 ) cnt++;
  if ( c > 0 ) cnt++;
  return cnt >= 2;
  }
  void swap(int& x, int& y){
  int t = x;
  x = y;
  y = t;
  }
  void sort(int& a, int& b, int& c) {
  if (a < b) swap(a, b);
  if (b < c) swap(b, c);
  if (a < b) swap(a, b);
  }
 public:
  int maximumScore(int a, int b, int c) {
  return maximumScore_math(a, b, c); //0
  return maximumScore_loop(a, b, c); //20ms
  }
  int maximumScore_loop(int a, int b, int c) {
  //the optimal way it always remove one stone from the biggest 2 piles
  int score = 0;
  while ( can_move(a, b ,c) ) {
  score++;
  sort(a, b ,c);
  a--; b--;
  }
  return score;
  }
  int maximumScore_math(int a, int b, int c) {
  // sort a > b > c
  sort(a, b, c);
  // if `a` is large enough which always has stone for `b` and `c`
  if ( b+c <= a ) return b+c;
  //if b+c > a, which means we always can find two stones, so the score is (a+b+c)/2
  return (a+b+c)/2;
  }
 };"
250,250,"class Solution {
 public:
  int maximumGain(string s, int x, int y) {
  char key[] =""ab"";
  if (y > x) { key[0] = 'b'; key[1]='a';}
  int high = max(x,y);
  int low = min(x,y);
  //greedy for high score
  int score = 0;
  stack<char> left_stack;
  for (int i=0; i<s.size(); i++) {
  char c = s[i];
  if ( left_stack.empty() || //stack is empty, just push directly
  ( c != key[0] && c != key[1] ) ) { // not the score char, just tpush cirectory
  left_stack.push(c);
  continue;
  }
  // if we meet the high score pattern
  if ( c == key[1] && left_stack.top() == key[0]){
  //cout << key << endl;
  left_stack.pop();
  score += high;
  continue;
  }
  left_stack.push(c);
  }
  //process the low score
  stack<char> right_stack;
  while(!left_stack.empty()) {
  char c = left_stack.top(); left_stack.pop();
  if (right_stack.empty() || c != key[0] && c != key[1]) {
  right_stack.push(c);
  continue;
  }
  // if we meet the low score pattern
  if ( c == key[1] && right_stack.top() == key[0]){
  right_stack.pop();
  score += low;
  continue;
  }
  right_stack.push(c);
  }
  return score;
  }
 };"
251,251,"class Solution {
 public:
  int maximumScore(vector<int>& nums, int k) {
  int score = nums[k];
  int m = score;
  int left = k, right = k;
  int l = left, r = right;
  while (left>0 || right < nums.size()-1){
  if ( left > 0 && right < nums.size()-1 ) {
  if (nums[left-1] > nums[right+1]) {
  left--;
  } else if (nums[left-1] < nums[right+1]) {
  right++;
  } else {
  left--;right++;
  }
  }else if ( left <= 0 ) {
  right++;
  }else if ( right >= nums.size() -1 ) { 
  left--;
  }else {
  break;
  }
  m = min(m, min( nums[left], nums[right]));
  int s = m * (right - left + 1);
  if ( s > score) {
  score = s;
  l = left; r = right;
  }
  }
  //cout << ""["" << l << "","" << r << ""] = "" << score << endl;
  return score;
  }
 };"
252,252,"#include <stdio.h>
 #include <stdlib.h>
 #include <time.h>
 #define INT_MIN (-2147483647 - 1)
 int maxSubArray1(int A[], int n);
 int maxSubArray2(int A[], int n); 
 int max(int x, int y){
  return x>y?x:y;
 }
 int maxSubArray(int A[], int n) {
  if (random()%2){
  return maxSubArray1(A, n);
  }
  return maxSubArray2(A, n);
 }
 int maxSubArray1(int A[], int n) {
  int *sum = new int[n];
  sum[0] = A[0];
  int m = A[0]; 
  for (int i=1; i<n; i++){
  sum[i] = max(A[i], A[i] + sum[i-1]);
  m = max(m, sum[i]);
  }
  delete[] sum;
  return m;
 }
 int maxSubArray2(int A[], int n) {
  int m=INT_MIN;
  int sum=0;
  for (int i=0; i<n; i++){
  sum += A[i];
  m = max(sum, m);
  if (sum<0){
  sum = 0;
  }
  }
  return m;
 }
 int main()
 {
  srand(time(NULL));
  int a[]= {-2,1,-3,4,-1,2,1,-5,4};
  printf(""%d\n"", maxSubArray(a, sizeof(a)/sizeof(int)));
  printf(""%d\n"", maxSubArray(a, sizeof(a)/sizeof(int)));
  return 0;
 }"
253,253,"class Solution {
 public:
  int maxSumMinProduct(vector<int>& nums) {
  nums.push_back(0); //edge case
  //prefix sum
  vector<long> sums(nums.size(), 0);
  // sums[i] = sum (num[0], num[1], num[2], ... num[n-1])
  // sums[m] - sums[n] = sum (num[n], sum[n+1] .... nums[m-1]); m > n
  for(int i=0; i<nums.size()-1; i++) {
  sums[i+1] = sums[i] + nums[i];
  }
  stack<int> s;
  long m = 0;
  for(int i=0; i<nums.size(); i++) {
  while( !s.empty() && nums[s.top()] > nums[i]) {
  int min = nums[s.top()]; s.pop();
  int start = s.empty() ? 0 : s.top() + 1;
  int end = i;
  m = max(m , min * (sums[end] - sums[start]));
  // cout << ""["";
  // for(int k = start; k < end-1; k++) {
  // cout << nums[k] << "","";
  // }
  // cout << nums[end-1] << ""], "" << min << ""*"" << (sums[end] - sums[start]) 
  // << ""="" << min * (sums[end] - sums[start]) << endl;
  }
  // if the num is increasing, then push into stack
  s.push(i);
  }
  //cout << endl;
  return m % 1000000007;
  }
 };"
254,254,"class Solution {
 private:
  void print(vector<vector<int>>& boxes) {
  cout << ""{ "";
  for(int i=0; i<boxes.size()-1; i++){
  cout << ""["" << boxes[i][0] << "",""<< boxes[i][1] << ""], "";
  }
  int i=boxes.size()-1;
  cout << ""["" << boxes[i][0] << "", ""<< boxes[i][1] << ""] } ""<< endl;
  }
 public:
  int maximumUnits(vector<vector<int>>& boxTypes, int truckSize) {
  sort(boxTypes.begin(), boxTypes.end(), 
  [&](vector<int>& lhs, vector<int>& rhs){return lhs[1] > rhs[1]; });
  //print(boxTypes);
  int units = 0;
  for(auto& box : boxTypes) {
  if (truckSize >= box[0]) {
  units += box[0] * box[1];
  }else{
  units += truckSize * box[1];
  }
  truckSize -= box[0];
  if (truckSize <= 0 ) break;
  }
  return units;
  }
 };"
255,255,"class Solution {
 public:
  string maxValue(string n, int x) {
  bool neg = false;
  if (n[0] == '-') neg = true;
  int i;
  for( i=neg?1:0; i<n.size(); i++){
  if (neg == true) {
  if ( n[i]-'0' > x) break;
  }else{ 
  if (n[i]-'0' < x) break; 
  }
  }
  n.insert(n.begin()+i, x+'0');
  return n;
  }
 };"
256,256,"/*
 This problem can be treat as a pyramid which shaped by 1, it looks like below:
  1
  1 1 1
  1 1 1 1 1
  1 1 1 1 1 1 1
 So, from the top, for each layer, we need the 1,3,5,7,9.... 2*n-1 ONE(s).
 But we need to deal with the edge case - it could be out of the array boundary
 For example: index=2, lenght=3, maxSum=18
  1) at first, we put `1 1 1` on bottom layer - Array[2] = 1
  2) then we start from the top 
  1 <-- the top first layer
  1 1 1 <-- bottom 
  now, we have Array[2] is 2
  3) we keep doing tthe 2nd layer - Array[2] = 3
  1 <-- the 1st layer
  1 1 [1] <-- the 2nd layer, which has 1 out of the boundary
  1 1 1 <-- bottom 
  now, we have Array[2] is 3
  4) the 3rd layer - Array[2] = 4 
  1 <-- the 1st layer
  1 1 [1] <-- the 2nd layer, which has 1 out of the boundary
  1 1 1 [1] [1] <-- the 3rd layer, which has 2 out of the boundary
  1 1 1 <-- bottom 
  now, we have Array[2] is 4
  5) Now, the rest layers no need to be cacluated, they all are `3`.
  Since 4), we spent 9 of `1`, we still have 18 - 9 = 9 of `1`
  So, we can have 9/3 = 3 layer.
  6) Finally, the maximum of Array[2] = 4 + 3 = 7
 */
 class Solution {
 public:
  int maxValue(int n, int index, int maxSum) {
  // at least, put the bottom layer
  int maxValue = 1;
  maxSum -= n;
  int layer = 1;
  int points;
  while ( maxSum > 0 ) {
  // how many 1 we need
  points = (2 * layer - 1);
  // how many 1 exceed the right bound
  int right = (index + layer-1) - (n-1);
  if (right > 0) points -= right;
  // how many 1 exceed the left bound
  int left = (layer - index - 1);
  if (left > 0) points -= left;
  // points >= n - we just need `n` for the rest layers 
  // maxSum < points - if we haven't enough points 
  if (points >= n || maxSum < points) break;
  maxSum -= points;
  layer++;
  maxValue++;
  }
  // maxSum/n - we just need `n` for the rest layers
  return maxValue += (maxSum/n);
  }
 };"
257,257,"class Solution {
 public:
  vector<int> getMaximumXor(vector<int>& nums, int maximumBit) {
  const int size = nums.size();
  const int max = (1 << maximumBit) - 1;
  int all = 0;
  vector<int> result(size);
  for(int i = 0; i < size; i++) {
  all ^= nums[i];
  result[size-i-1] = all ^ max;
  }
  return result;
  }
  vector<int> getMaximumXor(vector<int>& nums, int maximumBit) {
  int all = 0;
  for(auto& n : nums) {
  all ^= n;
  }
  int max = (1 << maximumBit) - 1; 
  vector<int> result;
  for(int i = nums.size()-1; i>=0; i--) {
  result.push_back(all ^ max);
  all ^= nums[i];
  }
  return result;
  }
 };"
258,258,"#include <stdlib.h>
 #include <time.h>
 #include <iostream>
 #include <vector>
 #include <map>
 using namespace std;
 struct Point {
  int x;
  int y;
  Point() : x(0), y(0) {}
  Point(int a, int b) : x(a), y(b) {}
 };
 // O(n^2) time complexity solution
 int maxPoints(vector<Point> &points) {
  #define INT_MAX 2147483647
  #define INT_MIN (-INT_MAX - 1)
  if (points.size()<=0) return 0;
  if (points.size()<=2) return points.size();
  int maxnum = 0;
  //using a map to find the same slope line
  map<double, int> slopeMap;
  //The algorithm here is quite straight forward.
  // take each point in array to caculate with others
  //
  //Actually the algorithm here can be optimized.
  // there are many duplicated calculation. 
  // considering two points A and B, (A,B) is same with (B,A), here re-calculated.
  for(int i=0; i<points.size(); i++) {
  //reset teh slope map.
  slopeMap.clear();
  slopeMap[INT_MIN] = 0;
  int samePointCnt = 1;
  for (int j=0; j<points.size(); j++) {
  if (i==j) continue; //skip the same point
  //Caculate the slope of two points
  int delta_x = points[i].x - points[j].x;
  int delta_y = points[i].y - points[j].y;
  //Special case: two points are exactly at same place
  if (delta_y == 0 && delta_x == 0){
  samePointCnt++;
  continue;
  }
  //Special case: delta_x == 0
  double slope = INT_MAX;
  if (delta_x!=0) {
  slope = 1.0*delta_y / delta_x;
  }
  //Count the points is same line.
  slopeMap[slope]++;
  }
  //find the max number of points located at same line with points[i]
  map<double, int>::iterator it;
  for (it = slopeMap.begin(); it != slopeMap.end(); it++) {
  if (maxnum < it->second + samePointCnt) {
  maxnum = it->second + samePointCnt;
  }
  }
  }
  return maxnum;
 }
 void generatePoints(vector<Point> &points, int n) {
  srand(time(0));
  Point p;
  for(int i=0; i<n; i++) {
  p.x = rand() % 1;
  p.y = rand() % 1;
  points.push_back(p);
  }
 }
 void printPoints(vector<Point> &points) {
  for(int i=0; i<points.size(); i++) {
  cout << ""("" << points[i].x << "","" << points[i].y << "") "";
  }
  cout << endl;
 }
 int main(int argc, char** argv) 
 {
  int n = 20;
  if ( argc > 1) {
  n = atoi(argv[1]);
  }
  vector<Point> points;
  generatePoints(points, n);
  printPoints(points);
  cout << maxPoints(points) << endl;
  return 0;
 }"
259,259,"#include <stdio.h>
 // Classical binary search algorithm, but slightly different
 // if cannot find the key, return the position where can insert the key 
 int binarySearch(int A[], int low, int high, int key){
  while(low<=high){
  int mid = low + (high - low)/2;
  if (key == A[mid]) return mid;
  if (key > A[mid]){
  low = mid + 1;
  }else {
  high = mid -1;
  }
  }
  return low;
 }
 //Notes:
 // I feel the following methods is quite complicated, it should have a better high clear and readable solution
 double findMedianSortedArrayHelper(int A[], int m, int B[], int n, int lowA, int highA, int lowB, int highB) {
  // Take the A[middle], search its position in B array
  int mid = lowA + (highA - lowA)/2;
  int pos = binarySearch(B, lowB, highB, A[mid]);
  int num = mid + pos;
  // If the A[middle] in B is B's middle place, then we can have the result
  if (num == (m+n)/2){
  // If two arrays total length is odd, just simply return the A[mid]
  // Why not return the B[pos] instead ? 
  // suppose A={ 1,3,5 } B={ 2,4 }, then mid=1, pos=1
  // suppose A={ 3,5 } B={1,2,4}, then mid=0, pos=2
  // suppose A={ 1,3,4,5 } B={2}, then mid=1, pos=1
  // You can see, the `pos` is the place A[mid] can be inserted, so return A[mid]
  if ((m+n)%2==1){
  return A[mid];
  }
  // If tow arrys total length is even, then we have to find the next one.
  int next;
  // If both `mid` and `pos` are not the first postion.
  // Then, find max(A[mid-1], B[pos-1]). 
  // Because the `mid` is the second middle number, we need to find the first middle number
  // Be careful about the edge case
  if (mid>0 && pos>0){ 
  next = A[mid-1]>B[pos-1] ? A[mid-1] : B[pos-1];
  }else if(pos>0){
  next = B[pos-1];
  }else if(mid>0){
  next = A[mid-1];
  }
  return (A[mid] + next)/2.0;
  }
  // if A[mid] is in the left middle place of the whole two arrays
  //
  // A(len=16) B(len=10)
  // [................] [...........]
  // ^ ^
  // mid=7 pos=1
  //
  // move the `low` pointer to the ""middle"" position, do next iteration.
  if (num < (m+n)/2){
  lowA = mid + 1;
  lowB = pos; 
  if ( highA - lowA > highB - lowB ) {
  return findMedianSortedArrayHelper(A, m, B, n, lowA, highA, lowB, highB);
  }
  return findMedianSortedArrayHelper(B, n, A, m, lowB, highB, lowA, highA);
  }
  // if A[mid] is in the right middle place of the whole two arrays
  if (num > (m+n)/2) {
  highA = mid - 1;
  highB = pos-1;
  if ( highA - lowA > highB - lowB ) {
  return findMedianSortedArrayHelper(A, m, B, n, lowA, highA, lowB, highB);
  }
  return findMedianSortedArrayHelper(B, n, A, m, lowB, highB, lowA, highA);
  }
 }
 double findMedianSortedArrays(int A[], int m, int B[], int n) {
  //checking the edge cases
  if ( m==0 && n==0 ) return 0.0;
  //if the length of array is odd, return the middle one
  //if the length of array is even, return the average of the middle two numbers
  if ( m==0 ) return n%2==1 ? B[n/2] : (B[n/2-1] + B[n/2])/2.0;
  if ( n==0 ) return m%2==1 ? A[m/2] : (A[m/2-1] + A[m/2])/2.0;
  //let the longer array be A, and the shoter array be B
  if ( m > n ){
  return findMedianSortedArrayHelper(A, m, B, n, 0, m-1, 0, n-1);
  }
  return findMedianSortedArrayHelper(B, n, A, m, 0, n-1, 0, m-1);
 }
 int main()
 {
  int r1[] = {1};
  int r2[] = {2};
  int n1 = sizeof(r1)/sizeof(r1[0]);
  int n2 = sizeof(r2)/sizeof(r2[0]);
  printf(""Median is 1.5 = %f\n"", findMedianSortedArrays(r1, n1, r2, n2));
  int ar1[] = {1, 12, 15, 26, 38};
  int ar2[] = {2, 13, 17, 30, 45, 50};
  n1 = sizeof(ar1)/sizeof(ar1[0]);
  n2 = sizeof(ar2)/sizeof(ar2[0]);
  printf(""Median is 17 = %f\n"", findMedianSortedArrays(ar1, n1, ar2, n2));
  int ar11[] = {1, 12, 15, 26, 38};
  int ar21[] = {2, 13, 17, 30, 45 };
  n1 = sizeof(ar11)/sizeof(ar11[0]);
  n2 = sizeof(ar21)/sizeof(ar21[0]);
  printf(""Median is 16 = %f\n"", findMedianSortedArrays(ar11, n1, ar21, n2));
  int a1[] = {1, 2, 5, 6, 8 };
  int a2[] = {13, 17, 30, 45, 50};
  n1 = sizeof(a1)/sizeof(a1[0]);
  n2 = sizeof(a2)/sizeof(a2[0]);
  printf(""Median is 10.5 = %f\n"", findMedianSortedArrays(a1, n1, a2, n2));
  int a10[] = {1, 2, 5, 6, 8, 9, 10 };
  int a20[] = {13, 17, 30, 45, 50};
  n1 = sizeof(a10)/sizeof(a10[0]);
  n2 = sizeof(a20)/sizeof(a20[0]);
  printf(""Median is 9.5 = %f\n"", findMedianSortedArrays(a10, n1, a20, n2));
  int a11[] = {1, 2, 5, 6, 8, 9 };
  int a21[] = {13, 17, 30, 45, 50};
  n1 = sizeof(a11)/sizeof(a11[0]);
  n2 = sizeof(a21)/sizeof(a21[0]);
  printf(""Median is 9 = %f\n"", findMedianSortedArrays(a11, n1, a21, n2));
  int a12[] = {1, 2, 5, 6, 8 };
  int a22[] = {11, 13, 17, 30, 45, 50};
  n1 = sizeof(a12)/sizeof(a12[0]);
  n2 = sizeof(a22)/sizeof(a22[0]);
  printf(""Median is 11 = %f\n"", findMedianSortedArrays(a12, n1, a22, n2));
  int b1[] = {1 };
  int b2[] = {2,3,4};
  n1 = sizeof(b1)/sizeof(b1[0]);
  n2 = sizeof(b2)/sizeof(b2[0]);
  printf(""Median is 2.5 = %f\n"", findMedianSortedArrays(b1, n1, b2, n2));
  return 0;
 }"
260,260,"#include <iostream>
 #include <vector>
 #include <algorithm>
 using namespace std;
 struct Interval {
  int start;
  int end;
  Interval() : start(0), end(0) {}
  Interval(int s, int e) : start(s), end(e) {}
 };
 //Two factos sorting [start:end]
 bool compare(const Interval& lhs, const Interval& rhs){
  return (lhs.start==rhs.start) ? lhs.end < rhs.end : lhs.start < rhs.start;
 }
 vector<Interval> merge(vector<Interval> &intervals) {
  vector<Interval> result;
  if (intervals.size() <= 0) return result;
  //sort the inervals. Note: using the customized comparing function.
  sort(intervals.begin(), intervals.end(), compare);
  for(int i=0; i<intervals.size(); i++) { 
  int size = result.size();
  // if the current intervals[i] is overlapped with previous interval.
  // merge them together
  if( size>0 && result[size-1].end >= intervals[i].start) {
  result[size-1].end = max(result[size-1].end, intervals[i].end); 
  }else{
  result.push_back(intervals[i]);
  }
  }
  return result;
 }
 int main(int argc, char**argv)
 {
  Interval i1(1,4);
  Interval i2(0,2);
  Interval i3(3,5);
  Interval i4(15,18);
  vector<Interval> intervals;
  intervals.push_back(i1);
  intervals.push_back(i2);
  intervals.push_back(i3);
  intervals.push_back(i4);
  vector<Interval> r = merge(intervals);
  for(int i=0; i<r.size(); i++){
  cout << ""[ "" << r[i].start << "", "" << r[i].end << "" ] "";
  }
  cout <<endl;
  return 0;
 }"
261,261,"#include <stdio.h>
 #include <stdlib.h>
 #include <time.h>
 #include <iostream>
 #include <vector>
 using namespace std;
 struct ListNode {
  int val;
  ListNode *next;
  ListNode(int x) : val(x), next(NULL) {}
 };
 ListNode *mergeTwoLists(ListNode* head1, ListNode* head2);
 ListNode *mergeTwoLists01(ListNode* head1, ListNode* head2);
 ListNode *mergeTwoLists02(ListNode* head1, ListNode* head2);
 ListNode *mergeKLists(vector<ListNode *> &lists) {
  ListNode *p, *p1, *p2;
  while(lists.size()>1){
  p1 = lists.back(); 
  lists.pop_back();
  p2 = lists.back(); 
  lists.pop_back();
  p = mergeTwoLists(p1, p2);
  lists.insert(lists.begin(), p);
  }
  return lists.size()==1 ? lists[0] : NULL;
  /* the following method is not fast enough! */
  /*
  ListNode* pHead = NULL;
  for (int i=0; i<lists.size(); i++){
  pHead = mergeTwoLists(pHead, lists[i]);
  }
  return pHead;
  */
 }
 static int n=0;
 ListNode *mergeTwoLists(ListNode* head1, ListNode* head2){
  if (n){
  //cout << ""------ method 01 ------"" <<endl;
  return mergeTwoLists01(head1, head2);
  }
  //cout << ""------ method 02 ------"" <<endl;
  return mergeTwoLists02(head1, head2);
 }
 /*======================================================================*/
 /* Method One */
 /*======================================================================*/
 //#define INT_MAX 2147483647
 //#define INT_MIN (-INT_MAX - 1)
 ListNode *mergeTwoLists01(ListNode* head1, ListNode* head2){
  ListNode *p1 = head1, *p2=head2;
  static ListNode dummy(0);
  dummy.next = p1;
  ListNode *prev = &dummy;
  while(p1 && p2){
  if(p1->val < p2->val){
  prev = p1;
  p1 = p1->next;
  }else{
  prev->next = p2;
  p2 = p2->next;
  prev = prev->next;
  prev->next = p1;
  }
  }
  if (p2){
  prev->next = p2;
  }
  return dummy.next;
 }
 /*======================================================================*/
 /* Method Two */
 /*======================================================================*/
 void TakeOutNode(ListNode*& head, ListNode*& tail, ListNode*& p);
 ListNode *mergeTwoLists02(ListNode* head1, ListNode* head2) {
  ListNode *p1 = head1, *p2=head2;
  ListNode *pHead = NULL, *pTail=NULL;
  while(p1 && p2){
  if(p1->val < p2->val){
  TakeOutNode(pHead, pTail, p1);
  }else{
  TakeOutNode(pHead, pTail, p2);
  }
  }
  ListNode *p=NULL;
  if (p1){
  p = p1;
  }else if (p2){
  p = p2;
  }
  if (pHead==NULL){
  return p;
  }
  pTail->next = p;
  return pHead;
 }
 void TakeOutNode(ListNode*& head, ListNode*& tail, ListNode*& p){
  ListNode *pNext = p->next;
  if (head==NULL){
  head = tail = p;
  }else{
  tail->next = p;
  tail = p;
  }
  p->next = NULL;
  p = pNext;
 }
 void printList(ListNode* h)
 {
  while(h!=NULL){
  printf(""%d "", h->val);
  h = h->next;
  }
  printf(""\n"");
 }
 ListNode* createList(int a[], int n)
 {
  ListNode *head=NULL, *p=NULL;
  for(int i=0; i<n; i++){
  if (head == NULL){
  head = p = new ListNode(a[i]);
  }else{
  p->next = new ListNode(a[i]);
  p = p->next;
  }
  }
  return head;
 }
 int main(int argc, char**argv)
 {
  srand(time(0));
  if (argc>1){
  n = atoi(argv[1]) % 2;
  }
  int a[] = {1,3,5,6,7,10};
  int b[] = {0,4,6,8,9,11,20,30,40};
  ListNode* p1 = createList(a, sizeof(a)/sizeof(int));
  ListNode* p2 = createList(b, sizeof(b)/sizeof(int));
  printList( mergeTwoLists(p1,p2) );
  //mergeTwoLists(p1,p2) ;
  vector<ListNode*> v;
  for(int i=0; i<10240; i++) {
  v.push_back(new ListNode(random()%100));
  }
  printList( mergeKLists(v) );
  //mergeKLists(v);
  cout << ""method "" << n+1 << endl;
  return 0;
 }"
262,262,"class Solution {
 public:
  string mergeAlternately(string word1, string word2) {
  int len1 = word1.size();
  int len2 = word2.size();
  int len = min(len1, len2);
  string result;
  for (int i=0; i<len; i++) {
  result += word1[i];
  result += word2[i];
  }
  if (len1 > len) result += word1.substr(len, len1 - len );
  if (len2 > len) result += word2.substr(len, len2 - len );
  return result;
  }
 };"
