id,title,content,difficulty
11,addTwoNumbers,"You are given two linked lists representing two non-negative numbers.The digits are stored in reverse order and each of their nodes contain a single digit.Add the two numbers and return it as a linked list.
 Input: (2 -> 4 -> 3) + (5 -> 6 -> 4)Output: 7 -> 0 -> 8",0
12,GroupAnagrams,"Given an array of strings, group anagrams together.
 For example, given: [""eat"", ""tea"", ""tan"", ""ate"", ""nat"", ""bat""],Return:
 [[""ate"", ""eat"",""tea""],[""nat"",""tan""],[""bat""]]
 Note:
 For the return value, each inner list's elements must follow the lexicographic order.All inputs will be in lower-case.
 Update (2015-08-09):The signature of the function had been updated to return list<list<string>> insteadof list<string>, as suggested here. If you still see your function signature returna list<string>, please click the reload button to reset your code definition.",0
13,ValidAnagram,"Given two strings s and t, write a function to determine if t is an anagram of s.
 For example,s = ""anagram"", t = ""nagaram"", return true.s = ""rat"", t = ""car"", return false.
 Note:You may assume the string contains only lowercase alphabets.",0
14,ArithmeticSlices,"A sequence of number is called arithmetic if it consists of at least three elementsand if the difference between any two consecutive elements is the same.
 For example, these are arithmetic sequence:1, 3, 5, 7, 97, 7, 7, 73, -1, -5, -9
 The following sequence is not arithmetic. 1, 1, 2, 5, 7
 A zero-indexed array A consisting of N numbers is given. A slice of that array isany pair of integers (P, Q) such that 0
 A slice (P, Q) of array A is called arithmetic if the sequence:A[P], A[p + 1], ..., A[Q - 1], A[Q] is arithmetic. In particular, this meansthat P + 1
 The function should return the number of arithmetic slices in the array A.
 Example:
 A = [1, 2, 3, 4]
 return: 3, for 3 arithmetic slices in A: [1, 2, 3], [2, 3, 4] and [1, 2, 3, 4]itself.",0
15,BackspaceStringCompare,"Given two strings S and T, return if they are equal when both are typed into emptytext editors. # means a backspace character.
 
 Example 1:
 
 Input: S = ""ab#c"", T = ""ad#c""Output: trueExplanation: Both S and T become ""ac"".
 
 
 Example 2:
 
 Input: S = ""ab##"", T = ""c#d#""Output: trueExplanation: Both S and T become """".
 
 
 Example 3:
 
 Input: S = ""a##c"", T = ""#a#c""Output: trueExplanation: Both S and T become ""c"".
 
 
 Example 4:
 
 Input: S = ""a#c"", T = ""b""Output: falseExplanation: S becomes ""c"" while T becomes ""b"".
 
 Note:
 
 1 <= S.length <= 2001 <= T.length <= 200S and T only contain lowercase letters and '#' characters.
 
 Follow up:
 
 Can you solve it in O(N) time and O(1) space?",0
16,balancedBinaryTree,"Given a binary tree, determine if it is height-balanced.
 For this problem, a height-balanced binary tree is defined as a binary tree in whichthe depth of the two subtrees of every node never differ by more than 1.",0
17,BasicCalculator,"Implement a basic calculator to evaluate a simple expression string.
 The expression string may contain open ( and closing parentheses ), the plus + or minus sign -,non-negative integers and empty spaces .
 You may assume that the given expression is always valid.
 Some examples:
 ""1 + 1"" = 2"" 2-1 + 2 "" = 3""(1+(4+5+2)-3)+(6+8)"" = 23
 Note: Do not use the eval built-in library function.",2
18,BasicCalculator.II,"Implement a basic calculator to evaluate a simple expression string.
 The expression string contains only non-negative integers, +, -, *, / operators and empty spaces .The integer division should truncate toward zero.
 You may assume that the given expression is always valid.
 Some examples:
 ""3+2*2"" = 7"" 3/2 "" = 1"" 3+5 / 2 "" = 5
 Note: Do not use the eval built-in library function.
 Credits:Special thanks to @ts for adding this problem and creating all test cases.",1
19,bestTimeToBuyAndSellStock,"Say you have an array for which the ith element is the price of a given stock on day i.
 If you were only permitted to complete at most one transaction (i.e., buy one and sell one share ofthe stock), design an algorithm to find the maximum profit.
 Note that you cannot sell a stock before you buy one.
 Example 1:
 Input: [7,1,5,3,6,4]Output: 5Explanation: Buy on day 2 (price = 1) and sell on day 5 (price = 6), profit = 6-1 = 5.Not 7-1 = 6, as selling price needs to be larger than buying price.
 Example 2:
 Input: [7,6,4,3,1]Output: 0Explanation: In this case, no transaction is done, i.e. max profit = 0.",0
20,bestTimeToBuyAndSellStock.II,"Say you have an array for which the ith element is the price of a given stock on day i.
 Design an algorithm to find the maximum profit. You may complete as many transactions as you like(i.e., buy one and sell one share of the stock multiple times).
 Note: You may not engage in multiple transactions at the same time (i.e., you must sell the stockbefore you buy again).
 Example 1:
 Input: [7,1,5,3,6,4]Output: 7Explanation: Buy on day 2 (price = 1) and sell on day 3 (price = 5), profit = 5-1 = 4.Then buy on day 4 (price = 3) and sell on day 5 (price = 6), profit = 6-3 = 3.
 Example 2:
 Input: [1,2,3,4,5]Output: 4Explanation: Buy on day 1 (price = 1) and sell on day 5 (price = 5), profit = 5-1 = 4.Note that you cannot buy on day 1, buy on day 2 and sell them later, as you areengaging multiple transactions at the same time. You must sell before buying again.
 Example 3:
 Input: [7,6,4,3,1]Output: 0Explanation: In this case, no transaction is done, i.e. max profit = 0.",0
21,bestTimeToBuyAndSellStock.III,"Say you have an array for which the ith element is the price of a given stock on day i.
 Design an algorithm to find the maximum profit. You may complete at most two transactions.
 Note: You may not engage in multiple transactions at the same time (i.e., you must sell the stockbefore you buy again).
 Example 1:
 Input: [3,3,5,0,0,3,1,4]Output: 6Explanation: Buy on day 4 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.Then buy on day 7 (price = 1) and sell on day 8 (price = 4), profit = 4-1 = 3.
 Example 2:
 Input: [1,2,3,4,5]Output: 4Explanation: Buy on day 1 (price = 1) and sell on day 5 (price = 5), profit = 5-1 = 4.Note that you cannot buy on day 1, buy on day 2 and sell them later, as you areengaging multiple transactions at the same time. You must sell before buying again.
 Example 3:
 Input: [7,6,4,3,1]Output: 0Explanation: In this case, no transaction is done, i.e. max profit = 0.",0
22,bestTimeToBuyAndSellStock.IV,"Say you have an array for which the ith element is the price of a given stock on day i.
 Design an algorithm to find the maximum profit. You may complete at most k transactions.
 Note:You may not engage in multiple transactions at the same time (ie, you must sell the stock beforeyou buy again).
 Example 1:
 Input: [2,4,1], k = 2Output: 2Explanation: Buy on day 1 (price = 2) and sell on day 2 (price = 4), profit = 4-2 = 2.
 Example 2:
 Input: [3,2,6,5,0,3], k = 2Output: 7Explanation: Buy on day 2 (price = 2) and sell on day 3 (price = 6), profit = 6-2 = 4.Then buy on day 5 (price = 0) and sell on day 6 (price = 3), profit = 3-0 = 3.",1
23,BestTimeToBuyAndSellStockWithCooldown,"Say you have an array for which the ith element is the price of a given stock on day i.
 Design an algorithm to find the maximum profit. You may complete as many transactions as you like(ie, buy one and sell one share of the stock multiple times) with the following restrictions:
 You may not engage in multiple transactions at the same time (ie, you must sell the stockbefore you buy again).After you sell your stock, you cannot buy stock on next day. (ie, cooldown 1 day)
 Example:
 Input: [1,2,3,0,2]Output: 3Explanation: transactions = [buy, sell, cooldown, buy, sell]",0
24,BestTimeToBuyAndSellStockWithTransactionFee,"Your are given an array of integers prices, for which the i-th element is the price of a givenstock on day i; and a non-negative integer fee representing a transaction fee.
 You may complete as many transactions as you like, but you need to pay the transaction fee for eachtransaction. You may not buy more than 1 share of a stock at a time (ie. you must sell the stockshare before you buy again.)
 Return the maximum profit you can make.
 Example 1:
 Input: prices = [1, 3, 2, 8, 4, 9], fee = 2Output: 8
 Explanation: The maximum profit can be achieved by:Buying at prices[0] = 1Selling at prices[3] = 8Buying at prices[4] = 4Selling at prices[5] = 9Thetotal profit is ((8 - 1) - 2) + ((9 - 4) - 2) = 8.
 Note:0 < prices.length <= 50000.0 < prices[i] < 50000.0 <= fee < 50000.",2
25,binarySearchTreeIterator,"Implement an iterator over a binary search tree (BST). Your iterator will be initialized with the root node of a BST.
 Calling next() will return the next smallest number in the BST.
 Note: next() and hasNext() should run in average O(1) time and uses O(h) memory, where h is the height of the tree.
 Credits:Special thanks to @ts for adding this problem and creating all test cases.",0
26,binaryTreeInorderTraversal,"Given a binary tree, return the inorder traversal of its nodes' values.
 For example:Given binary tree {1,#,2,3},
 1\2/3
 return [1,3,2].
 Note: Recursive solution is trivial, could you do it iteratively?
 confused what ""{1,#,2,3}"" means? > read more on how binary tree is serialized on OJ.
 OJ's Binary Tree Serialization:
 The serialization of a binary tree follows a level order traversal, where '#' signifiesa path terminator where no node exists below.
 Here's an example:
 1/ \2 3/4\5
 The above binary tree is serialized as ""{1,2,3,#,#,4,#,#,5}"".",0
27,binaryTreeLevelOrderTraversal,"Given a binary tree, return the level order traversal of its nodes' values.(ie, from left to right, level by level).
 For example:Given binary tree {3,9,20,#,#,15,7},
 3/ \9 20/ \15 7
 return its level order traversal as:
 [[3],[9,20],[15,7]]
 confused what ""{1,#,2,3}"" means? > read more on how binary tree is serialized on OJ.
 OJ's Binary Tree Serialization:
 The serialization of a binary tree follows a level order traversal, where '#' signifiesa path terminator where no node exists below.
 Here's an example:
 1/ \2 3/4\5
 The above binary tree is serialized as ""{1,2,3,#,#,4,#,#,5}"".",2
28,binaryTreeLevelOrderTraversal.II,"Given a binary tree, return the bottom-up level order traversal of its nodes' values.(ie, from left to right, level by level from leaf to root).
 For example:Given binary tree {3,9,20,#,#,15,7},
 3/ \9 20/ \15 7
 return its bottom-up level order traversal as:
 [[15,7],[9,20],[3]]
 confused what ""{1,#,2,3}"" means? > read more on how binary tree is serialized on OJ.
 OJ's Binary Tree Serialization:
 The serialization of a binary tree follows a level order traversal, where '#' signifiesa path terminator where no node exists below.
 Here's an example:
 1/ \2 3/4\5
 The above binary tree is serialized as ""{1,2,3,#,#,4,#,#,5}"".",1
29,binaryTreeMaximumPathSum,"Given a binary tree, find the maximum path sum.
 The path may start and end at any node in the tree.
 For example:Given the below binary tree,
 1/ \2 3
 Return 6.",0
30,binaryTreePaths,"Given a binary tree, return all root-to-leaf paths.
 For example, given the following binary tree:
 1/ \2 3\5
 All root-to-leaf paths are:[""1->2->5"", ""1->3""]
 Credits:Special thanks to @jianchao.li.fighter for adding this problem and creating all testcases.",0
31,binaryTreePostorderTraversal,"Given a binary tree, return the postorder traversal of its nodes' values.
 For example:Given binary tree {1,#,2,3},
 1\2/3
 return [3,2,1].
 Note: Recursive solution is trivial, could you do it iteratively?",1
32,binaryTreePreorderTraversal,"Given a binary tree, return the preorder traversal of its nodes' values.
 For example:Given binary tree {1,#,2,3},
 1\2/3
 return [1,2,3].
 Note: Recursive solution is trivial, could you do it iteratively?",1
33,binaryTreeRightSideView,"Given a binary tree, imagine yourself standing on the right side of it, returnthe values of the nodes you can see ordered from top to bottom.
 For example:Given the following binary tree,
 1 <---/ \2 3 <---\ \5 4 <---
 You should return [1, 3, 4].
 Credits:Special thanks to @amrsaqr for adding this problem and creating all test cases.",0
34,binaryTreeUpsideDown,"Given a binary tree where all the right nodes are either leaf nodes witha sibling (a left node that shares the same parent node) or empty,
 Flip it upside down and turn it into a tree where the original right nodes turned into left leaf nodes.Return the new root.
 For example:Given a binary tree {1,2,3,4,5},1/ \2 3/ \4 5return the root of the binary tree [4,5,2,#,#,3,1].4/ \5 2/ \3 1confused what ""{1,#,2,3}"" means? > read more on how binary tree is serialized on OJ.",0
35,binaryTreeZigzagLevelOrderTraversal,"Given a binary tree, return the zigzag level order traversal of its nodes' values.(ie, from left to right, then right to left for the next level and alternate between).
 For example:Given binary tree {3,9,20,#,#,15,7},
 3/ \9 20/ \15 7
 return its zigzag level order traversal as:
 [[3],[20,9],[15,7]]
 confused what ""{1,#,2,3}"" means? > read more on how binary tree is serialized on OJ.
 OJ's Binary Tree Serialization:
 The serialization of a binary tree follows a level order traversal,where '#' signifies a path terminator where no node exists below.
 Here's an example:
 1/ \2 3/4\5
 The above binary tree is serialized as ""{1,2,3,#,#,4,#,#,5}"".",2
36,BinaryWatch,"A binary watch has 4 LEDs on the top which represent the hours (0-11), and the 6LEDs on the bottom represent the minutes (0-59).Each LED represents a zero or one, with the least significant bit on the right.
 For example, the above binary watch reads ""3:25"".
 Given a non-negative integer n which represents the number of LEDs that arecurrently on, return all possible times the watch could represent.
 Example:Input: n = 1Return: [""1:00"", ""2:00"", ""4:00"", ""8:00"", ""0:01"", ""0:02"", ""0:04"", ""0:08"",""0:16"", ""0:32""]
 Note:
 The order of output does not matter.The hour must not contain a leading zero, for example ""01:00"" is not valid, itshould be ""1:00"".The minute must be consist of two digits and may contain a leading zero, for example""10:2"" is not valid, it should be ""10:02"".",1
37,BitwiseAndOfNumbersRange,"Given a range [m, n] where 0
 For example, given the range [5, 7], you should return 4.
 Credits:Special thanks to @amrsaqr for adding this problem and creating all test cases.",0
38,BrokenCalculator,"On a broken calculator that has a number showing on its display, we can perform two operations:
 Double: Multiply the number on the display by 2, or;Decrement: Subtract 1 from the number on the display.
 Initially, the calculator is displaying the number X.
 Return the minimum number of operations needed to display the number Y.
 Example 1:
 Input: X = 2, Y = 3Output: 2Explanation: Use double operation and then decrement operation {2 -> 4 -> 3}.
 Example 2:
 Input: X = 5, Y = 8Output: 2Explanation: Use decrement and then double {5 -> 4 -> 8}.
 Example 3:
 Input: X = 3, Y = 10Output: 3Explanation: Use double, decrement and double {3 -> 6 -> 5 -> 10}.
 Example 4:
 Input: X = 1024, Y = 1Output: 1023Explanation: Use decrement operations 1023 times.
 Note:
 1 <= X <= 10^91 <= Y <= 10^9",0
39,BuddyStrings,"Given two strings A and B of lowercase letters, return true if and only if we canswap two letters in A so that the result equals B.
 
 
 Example 1:
 
 
 Input: A = ""ab"", B = ""ba""Output: true
 
 
 Example 2:
 
 Input: A = ""ab"", B = ""ab""Output: false
 
 
 Example 3:
 
 Input: A = ""aa"", B = ""aa""Output: true
 
 
 Example 4:
 
 Input: A = ""aaaaaaabc"", B = ""aaaaaaacb""Output: true
 
 
 Example 5:
 
 Input: A = """", B = ""aa""Output: false
 
 
 
 Note:
 
 0 <= A.length <= 200000 <= B.length <= 20000A and B consist only of lowercase letters.",0
40,BuildingBoxes,"You have a cubic storeroom where the width, length, and height of the room are all equal to nunits. You are asked to place n boxes in this room where each box is a cube of unit side length.There are however some rules to placing the boxes:
 You can place the boxes anywhere on the floor.If box x is placed on top of the box y, then each side of the four vertical sides of thebox y must either be adjacent to another box or to a wall.
 Given an integer n, return the minimum possible number of boxes touching the floor.
 Example 1:
 Input: n = 3Output: 3Explanation: The figure above is for the placement of the three boxes.These boxes are placed in the corner of the room, where the corner is on the left side.
 Example 2:
 Input: n = 4Output: 3Explanation: The figure above is for the placement of the four boxes.These boxes are placed in the corner of the room, where the corner is on the left side.
 Example 3:
 Input: n = 10Output: 6Explanation: The figure above is for the placement of the ten boxes.These boxes are placed in the corner of the room, where the corner is on the back side.
 Constraints:
 1 <= n <= 10^9",1
41,bulbSwitcher,"There are n bulbs that are initially off. You first turn on all the bulbs. Then, youturn off every second bulb. On the third round, you toggle every third bulb (turningon if it's off or turning off if it's on). For the nth round, you only toggle thelast bulb. Find how many bulbs are on after n rounds.
 Example:
 Given n = 3.
 At first, the three bulbs are [off, off, off].After first round, the three bulbs are [on, on, on].After second round, the three bulbs are [on, off, on].After third round, the three bulbs are [on, off, off].
 So you should return 1, because there is only one bulb is on.",0
42,BulbSwitcher.II,"There is a room with n lights which are turned on initially and 4 buttons on the wall. Afterperforming exactly m unknown operations towards buttons, you need to return how many differentkinds of status of the n lights could be.
 Suppose n lights are labeled as number [1, 2, 3 ..., n], function of these 4 buttons are givenbelow:
 Flip all the lights.Flip lights with even numbers.Flip lights with odd numbers.Flip lights with (3k + 1) numbers, k = 0, 1, 2, ...
 Example 1:
 Input: n = 1, m = 1.Output: 2Explanation: Status can be: [on], [off]
 Example 2:
 Input: n = 2, m = 1.Output: 3Explanation: Status can be: [on, off], [off, on], [off, off]
 Example 3:
 Input: n = 3, m = 1.Output: 4Explanation: Status can be: [off, on, off], [on, off, on], [off, off, off], [off, on, on].
 Note: n and m both fit in range [0, 1000].",0
43,BulbSwitcher.III,"There is a room with n bulbs, numbered from 1 to n, arranged in a row from left to right.Initially, all the bulbs are turned off.
 At moment k (for k from 0 to n - 1), we turn on the light[k] bulb. A bulb change color to blue onlyif it is on and all the previous bulbs (to the left) are turned on too.
 Return the number of moments in which all turned on bulbs are blue.
 Example 1:
 Input: light = [2,1,3,5,4]Output: 3Explanation: All bulbs turned on, are blue at the moment 1, 2 and 4.
 Example 2:
 Input: light = [3,2,4,1,5]Output: 2Explanation: All bulbs turned on, are blue at the moment 3, and 4 (index-0).
 Example 3:
 Input: light = [4,1,2,3]Output: 1Explanation: All bulbs turned on, are blue at the moment 3 (index-0).Bulb 4th changes to blue at the moment 3.
 Example 4:
 Input: light = [2,1,4,3,6,5]Output: 3
 Example 5:
 Input: light = [1,2,3,4,5,6]Output: 6
 Constraints:
 n == light.length1 <= n <= 5 * 10^4light is a permutation of [1, 2, ..., n]",0
44,BulbSwitcher.IV,"There is a room with n bulbs, numbered from 0 to n-1, arranged in a row from left to right.Initially all the bulbs are turned off.
 Your task is to obtain the configuration represented by target where target[i] is '1' if the i-thbulb is turned on and is '0' if it is turned off.
 You have a switch to flip the state of the bulb, a flip operation is defined as follows:
 Choose any bulb (index i) of your current configuration.Flip each bulb from index i to n-1.
 When any bulb is flipped it means that if it is 0 it changes to 1 and if it is 1 it changes to 0.
 Return the minimum number of flips required to form target.
 Example 1:
 Input: target = ""10111""Output: 3Explanation: Initial configuration ""00000"".flip from the third bulb: ""00000"" -> ""00111""flip from the first bulb: ""00111"" -> ""11000""flip from the second bulb: ""11000"" -> ""10111""We need at least 3 flip operations to form target.
 Example 2:
 Input: target = ""101""Output: 3Explanation: ""000"" -> ""111"" -> ""100"" -> ""101"".
 Example 3:
 Input: target = ""00000""Output: 0
 Example 4:
 Input: target = ""001011101""Output: 5
 Constraints:
 1 <= target.length <= 10^5target[i] == '0' or target[i] == '1'",0
45,bullsAndCows,"You are playing the following Bulls and Cows game with your friend: You write a4-digit secret number and ask your friend to guess it. Each time your friend guessesa number, you give a hint. The hint tells your friend how many digits are in thecorrect positions (called ""bulls"") and how many digits are in the wrong positions(called ""cows""). Your friend will use those hints to find out the secret number.
 For example:
 Secret number: ""1807""Friend's guess: ""7810""Hint: 1 bull and 3 cows. (The bull is 8, the cows are 0, 1 and 7.)Write a function to return a hint according to the secret number and friend's guess,use A to indicate the bulls and B to indicate the cows. In the above example, yourfunction should return ""1A3B"".
 Please note that both secret number and friend's guess may contain duplicate digits,for example:
 Secret number: ""1123""Friend's guess: ""0111""In this case, the 1st 1 in friend's guess is a bull, the 2nd or 3rd 1 is a cow, andyour function should return ""1A1B"".You may assume that the secret number and your friend's guess only contain digits,and their lengths are always equal.
 Credits:Special thanks to @jeantimex for adding this problem and creating all test cases.",0
46,BurstBalloons,"Given n balloons, indexed from 0 to n-1. Each balloon is painted with anumber on it represented by array nums.
 You are asked to burst all the balloons. If the you burstballoon i you will get nums[left] * nums[i] * nums[right] coins. Here leftand right are adjacent indices of i. After the burst, the left and rightthen becomes adjacent.
 Find the maximum coins you can collect by bursting the balloons wisely.
 Note:(1) You may imagine nums[-1] = nums[n] = 1. They are not real therefore you cannot burst them.(2) 0 â‰¤ n â‰¤ 500, 0 â‰¤ nums[i] â‰¤ 100
 Example:
 Given [3, 1, 5, 8]
 Return 167
 nums = [3,1,5,8] --> [3,5,8] --> [3,8] --> [8] --> []coins = 3*1*5 + 3*5*8 + 1*3*8 + 1*8*1 = 167
 Credits:Special thanks to @dietpepsi for adding this problem and creating all testcases.",1
47,CalculateMoneyInLeetcodeBank,"Hercy wants to save money for his first car. He puts money in the Leetcode bank every day.
 He starts by putting in $1 on Monday, the first day. Every day from Tuesday to Sunday, he will putin $1 more than the day before. On every subsequent Monday, he will put in $1 more than theprevious Monday.
 Given n, return the total amount of money he will have in the Leetcode bank at the end of the n^thday.
 Example 1:
 Input: n = 4Output: 10Explanation: After the 4^th day, the total is 1 + 2 + 3 + 4 = 10.
 Example 2:
 Input: n = 10Output: 37Explanation: After the 10^th day, the total is (1 + 2 + 3 + 4 + 5 + 6 + 7) + (2 + 3 + 4) = 37.Notice that on the 2^nd Monday, Hercy only puts in $2.
 Example 3:
 Input: n = 20Output: 96Explanation: After the 20^th day, the total is (1 + 2 + 3 + 4 + 5 + 6 + 7) + (2 + 3 + 4 + 5 + 6 + 7+ 8) + (3 + 4 + 5 + 6 + 7 + 8) = 96.
 Constraints:
 1 <= n <= 1000",0
48,candy,"There are N children standing in a line. Each child is assigned a rating value.
 You are giving candies to these children subjected to the following requirements:
 Each child must have at least one candy.Children with a higher rating get more candies than their neighbors.
 What is the minimum candies you must give?",1
49,CheckIfArrayIsSortedAndRotated,"Given an array nums, return true if the array was originally sorted in non-decreasing order, thenrotated some number of positions (including zero). Otherwise, return false.
 There may be duplicates in the original array.
 Note: An array A rotated by x positions results in an array B of the same length such that A[i] ==B[(i+x) % A.length], where % is the modulo operation.
 Example 1:
 Input: nums = [3,4,5,1,2]Output: trueExplanation: [1,2,3,4,5] is the original sorted array.You can rotate the array by x = 3 positions to begin on the the element of value 3: [3,4,5,1,2].
 Example 2:
 Input: nums = [2,1,3,4]Output: falseExplanation: There is no sorted array once rotated that can make nums.
 Example 3:
 Input: nums = [1,2,3]Output: trueExplanation: [1,2,3] is the original sorted array.You can rotate the array by x = 0 positions (i.e. no rotation) to make nums.
 Example 4:
 Input: nums = [1,1,1]Output: trueExplanation: [1,1,1] is the original sorted array.You can rotate any number of positions to make nums.
 Example 5:
 Input: nums = [2,1]Output: trueExplanation: [1,2] is the original sorted array.You can rotate the array by x = 5 positions to begin on the element of value 2: [2,1].
 Constraints:
 1 <= nums.length <= 1001 <= nums[i] <= 100",0
50,CheckIfBinaryStringHasAtMostOneSegmentOfOnes,"Given a binary string s without leading zeros, return true if s contains at most onecontiguous segment of ones. Otherwise, return false.
 Example 1:
 Input: s = ""1001""Output: falseExplanation: The ones do not form a contiguous segment.
 Example 2:
 Input: s = ""110""Output: true
 Constraints:
 1 <= s.length <= 100s[i] is either '0' or '1'.s[0] is '1'.",0
51,CheckIfNumberIsASumOfPowersOfThree,"Given an integer n, return true if it is possible to represent n as the sum of distinct powers ofthree. Otherwise, return false.
 An integer y is a power of three if there exists an integer x such that y == 3x.
 Example 1:
 Input: n = 12Output: trueExplanation: 12 = 31 + 32
 Example 2:
 Input: n = 91Output: trueExplanation: 91 = 30 + 32 + 34
 Example 3:
 Input: n = 21Output: false
 Constraints:
 1 <= n <= 107",0
